"Account type","Typ konta"
"Credit Card or E-transfer","Karta kredytowa lub przelew internetowy"
"Customer Notified","Klient powiadomiony"
"Encoding","Kodowanie przesyłanych danych"
"IMPORTANT: Set the same in Payu.pl","WAŻNE: ustaw takie samo kodowanie w Payu.pl"
"MD5 Key","Klucz (MD5)"
"Order no %s","Zamówienie nr %s"
"POS Auth Key","Klucz autoryzacji płatności (pos_auth_key)"
"POS Id","Id punktu płatności (pos_id)"
"Production","Produkcyjne"
"Sandbox","Testowe (Sandbox)"
"Second MD5 Key","Drugi klucz (MD5)"
"Sort Order","Porządek sortowania"
"Your transaction was rejected by Payu.pl.","Twoja płatność została odrzucona przez system Payu.pl."
"You will be redirected to the Payu.pl application after submitting the order.","Zostaniesz przekierowany do serwisu Payu.pl po złożeniu zamówienia."